Date, Open, High, Low, Close
05/10/21, 627.29, 626.55, 626.55, 626.55
05/07/21, 623.92, 627.29, 627.29, 627.29
05/06/21, 615.12, 623.92, 623.92, 623.92
05/05/21, 609.40, 615.12, 615.12, 615.12
05/04/21, 605.19, 609.40, 609.40, 609.40
05/03/21, 601.98, 605.19, 605.19, 605.19
04/30/21, 607.79, 601.98, 601.98, 601.98
04/29/21, 596.94, 607.79, 607.79, 607.79
04/28/21, 595.27, 596.94, 596.94, 596.94
04/27/21, 589.93, 595.27, 595.27, 595.27
04/26/21, 587.97, 589.93, 589.93, 589.93
04/23/21, 577.31, 587.97, 587.97, 587.97
04/22/21, 583.77, 577.31, 577.31, 577.31
04/21/21, 575.78, 583.77, 583.77, 583.77
04/20/21, 586.42, 575.78, 575.78, 575.78
04/19/21, 586.42, 586.42, 586.42, 586.42
04/16/21, 584.25, 588.09, 588.09, 588.09
04/15/21, 584.87, 584.25, 584.25, 584.25
04/14/21, 581.01, 584.87, 584.87, 584.87
04/13/21, 586.42, 581.01, 581.01, 581.01
04/12/21, 583.88, 586.42, 586.42, 586.42
04/09/21, 578.91, 583.88, 583.88, 583.88
04/08/21, 578.95, 578.91, 578.91, 578.91
04/07/21, 576.58, 578.95, 578.95, 578.95
04/06/21, 577.22, 576.59, 576.59, 576.59
04/05/21, 572.97, 577.22, 577.22, 577.22
04/01/21, 565.72, 573.09, 565.72, 572.97
03/31/21, 570.85, 565.72, 565.72, 565.72
03/30/21, 566.80, 570.85, 570.85, 570.85
03/29/21, 572.10, 566.80, 566.80, 566.80
03/26/21, 562.53, 572.10, 572.10, 572.10
03/25/21, 553.81, 562.53, 562.53, 562.53
03/24/21, 551.41, 553.81, 553.81, 553.81
03/23/21, 559.29, 551.41, 551.41, 551.41
03/22/21, 566.65, 559.29, 559.29, 559.29
03/19/21, 573.52, 566.65, 566.65, 566.65
03/18/21, 570.31, 573.52, 573.52, 573.52
03/17/21, 566.63, 570.31, 570.31, 570.31
03/16/21, 573.09, 566.63, 566.63, 566.63
03/15/21, 576.35, 573.09, 573.09, 573.09
03/12/21, 570.15, 576.35, 576.35, 576.35
03/11/21, 571.75, 570.15, 570.15, 570.15
03/10/21, 561.00, 571.75, 571.75, 571.75
03/09/21, 565.84, 561.00, 561.00, 561.00
03/08/21, 558.63, 565.84, 565.84, 565.84
03/05/21, 548.17, 558.63, 558.63, 558.63
03/04/21, 554.87, 548.17, 548.17, 548.17
03/03/21, 550.72, 554.87, 554.87, 554.87
03/02/21, 552.37, 550.72, 550.72, 550.72
03/01/21, 535.64, 552.37, 552.37, 552.37
02/26/21, 546.42, 535.64, 535.64, 535.64
02/25/21, 556.51, 546.42, 546.42, 546.42
02/24/21, 545.54, 556.51, 556.51, 556.51
02/23/21, 542.84, 545.54, 545.54, 545.54
02/22/21, 537.59, 542.84, 542.84, 542.84
02/19/21, 531.43, 537.59, 537.59, 537.59
02/18/21, 534.08, 531.43, 531.43, 531.43
02/17/21, 532.19, 534.08, 534.08, 534.08
02/16/21, 522.92, 532.19, 532.19, 532.19
02/12/21, 518.02, 523.28, 516.81, 522.92
02/11/21, 519.17, 518.02, 518.02, 518.02
02/10/21, 519.49, 519.17, 519.17, 519.17
02/09/21, 518.95, 519.49, 519.49, 519.49
02/08/21, 512.69, 518.95, 518.95, 518.95
02/05/21, 512.25, 512.69, 512.69, 512.69
02/04/21, 500.85, 512.25, 512.25, 512.25
02/03/21, 498.30, 500.85, 500.85, 500.85
02/02/21, 486.35, 498.30, 498.30, 498.30
02/01/21, 480.98, 486.35, 486.35, 486.35
01/29/21, 490.90, 480.98, 480.98, 480.98
01/28/21, 481.67, 490.90, 490.90, 490.90
01/27/21, 496.25, 481.67, 481.67, 481.67
01/26/21, 500.26, 496.25, 496.25, 496.25
01/25/21, 504.11, 500.26, 500.26, 500.26
01/22/21, 507.78, 504.11, 504.11, 504.11
01/21/21, 513.19, 507.78, 507.78, 507.78
01/20/21, 515.60, 513.19, 513.19, 513.19
01/19/21, 513.38, 515.60, 515.60, 515.60
01/15/21, 522.77, 522.77, 510.22, 513.38
01/14/21, 520.14, 522.77, 522.77, 522.77
01/13/21, 520.91, 520.14, 520.14, 520.14
01/12/21, 515.43, 520.91, 520.91, 520.91
01/11/21, 513.24, 515.43, 515.43, 515.43
01/08/21, 514.23, 513.24, 513.24, 513.24
01/07/21, 506.78, 514.23, 514.23, 514.23
01/06/21, 485.60, 506.78, 506.78, 506.78
01/05/21, 483.80, 485.60, 485.60, 485.60
01/04/21, 490.43, 483.80, 483.80, 483.80
12/31/20, 484.02, 490.97, 482.61, 490.43
12/30/20, 482.11, 484.02, 484.02, 484.02
12/29/20, 483.77, 482.11, 482.11, 482.11
12/28/20, 481.31, 483.77, 483.77, 483.77
12/24/20, 480.95, 481.31, 481.31, 481.31
12/23/20, 473.37, 480.95, 480.95, 480.95
12/22/20, 477.98, 473.37, 473.37, 473.37
12/21/20, 472.13, 477.98, 477.98, 477.98
12/18/20, 475.85, 472.13, 472.13, 472.13
12/17/20, 474.19, 475.85, 475.85, 475.85
12/16/20, 473.62, 474.19, 474.19, 474.19
12/15/20, 465.81, 473.62, 473.62, 473.62
12/14/20, 471.58, 465.81, 465.81, 465.81
12/11/20, 476.18, 471.58, 471.58, 471.58
12/10/20, 475.41, 476.18, 476.18, 476.18
12/09/20, 476.39, 475.41, 475.41, 475.41
12/08/20, 476.67, 476.39, 476.39, 476.39
12/07/20, 480.05, 476.67, 476.67, 476.67
12/04/20, 474.69, 480.05, 480.05, 480.05
12/03/20, 474.66, 474.69, 474.69, 474.69
12/02/20, 469.71, 474.66, 474.66, 474.66
12/01/20, 462.45, 469.71, 469.71, 469.71
11/30/20, 471.52, 462.45, 462.45, 462.45
11/27/20, 473.50, 471.52, 471.52, 471.52
11/25/20, 475.46, 475.46, 468.07, 473.50
11/24/20, 459.26, 475.46, 475.46, 475.46
11/23/20, 450.77, 459.26, 459.26, 459.26
