,Date,DBR,AMROBK,BACR-Bank,BNP,BYLAN,CMZB,CSGAG,DB,DZBK,ERGBA,HSBC,HSBC-HSBCBank,INTNED,LBW,NDB,SANPAO,SANTNDR,SEB,SOCGEN,UBS,UCBAG,BACF-BankNA,C,CRDSUI-USAInc,GS,JPM,MWD,RY,MIZUHBA,NOMURA, Open, High, Low,Close
0,2015-12-16,8.0987,59.9553,59.5979,70.288,78.1634,89.5873,85.6969,94.047,79.8399,126.778,84.2263,69.7139,53.4327,55.879,119.3407,90.3836,124.1511,58.3422,69.4612,46.765,77.8846,73.2131,83.3913,82.7087,86.4448,75.6478,86.8967,60.0193,95.3847,72.3096,322.95,328.26,328.26,328.26
1,2015-12-17,8.1809,60.8999,58.2724,69.807,78.8935,85.9924,84.5083,92.9731,79.849,124.8352,81.4312,67.3456,52.653,54.899,119.3442,87.9382,122.929,58.2812,67.3441,45.9745,77.396,72.5302,81.0849,81.4686,84.5008,72.6121,84.9827,59.7699,92.2499,74.0992,328.23,323.07,323.07,323.07
2,2015-12-18,8.1656,61.213,60.6409,71.5936,78.6469,90.5804,86.2609,94.5435,79.8527,124.6129,79.6966,70.5091,51.4056,53.92,119.345,90.4186,127.0431,58.2252,70.1275,48.6452,77.4035,72.4659,82.7367,81.4956,85.9183,73.5007,86.6896,58.2865,92.2498,75.2375,323.07,314.96,314.96,314.96
3,2015-12-21,8.1647,60.8928,61.2405,72.2154,78.7569,90.6353,87.5892,96.1573,79.9221,125.6418,81.3318,71.2089,50.7452,55.7726,119.2818,92.3175,133.8628,58.4534,71.2387,48.765,78.8901,72.2373,83.3012,82.619,86.1917,73.8786,86.7687,58.5826,92.5796,75.2423,314.97,317.84,317.84,317.84
4,2015-12-22,8.1754,61.2091,60.5956,72.2073,79.0299,90.3317,87.7539,96.3618,79.8496,126.104,80.5334,70.0357,51.7293,55.5838,116.8665,90.7483,132.6406,57.9443,70.9007,48.9448,79.1427,71.9224,82.9142,82.6994,85.8843,73.1944,85.989,58.1449,92.5795,78.2812,317.84,320.64,320.64,320.64
5,2015-12-23,8.0907,61.3694,59.8762,71.7112,79.16,89.0088,86.0969,94.4449,79.5922,126.078,80.5922,69.8382,53.4625,58.0671,116.8642,90.5818,133.2627,58.5718,70.4888,47.7677,78.8803,71.9136,81.9219,82.6874,84.6789,71.5867,84.7127,58.1367,96.8349,79.0602,320.53,324.77,324.77,324.77
6,2015-12-24,8.328,61.3727,60.5064,71.0111,78.5608,89.4646,86.0979,94.6107,79.6307,126.95,82.8952,70.5714,54.5269,57.6457,116.8001,90.7408,132.4122,58.8884,69.7313,48.6589,78.6716,71.2373,81.994,82.6916,84.5185,71.3568,84.5946,59.0248,94.4358,78.8667,324.77,324.5,324.5,324.5
7,2015-12-25,8.2918,60.3803,60.3358,71.0361,78.2551,89.3861,86.1152,94.6392,79.8836,126.9684,82.8704,70.4332,54.8644,57.6533,116.8018,90.7717,132.9665,58.5212,69.7584,48.3519,78.2441,73.9958,82.2026,82.1597,85.5259,71.8385,85.2054,59.0298,94.4474,78.0753,324.5,323.85,323.85,323.85
8,2015-12-28,8.7444,60.4017,60.1338,70.9483,78.6305,89.0727,85.8384,94.4744,79.9251,127.0154,82.8701,70.3927,54.9129,57.6941,116.8212,89.6324,132.6683,58.5494,69.7011,48.3947,78.3006,73.5863,81.0091,82.7099,84.6485,71.6982,84.3099,59.0849,92.5789,78.3595,324.5,323.85,323.85,323.85
9,2015-12-29,8.4646,63.2769,59.6016,68.725,78.4467,88.1001,85.9463,93.7163,79.41,125.048,81.751,70.5322,55.1597,56.1068,116.8212,89.8409,133.6226,58.4538,68.2519,48.1651,78.1913,70.5782,81.2999,82.6954,84.5229,71.8235,84.2677,64.5894,94.9044,79.727,323.72,327.25,327.25,327.25
10,2015-12-30,8.0619,59.9632,60.6057,71.0104,77.9865,90.0892,85.7653,95.1581,79.8812,126.7683,83.8408,70.5237,55.3302,55.8764,116.8212,91.6529,135.4126,58.4927,68.922,48.8235,78.2533,70.5503,82.0012,82.1642,84.2775,71.576,84.5155,64.5674,94.8886,72.4769,327.2,324.68,324.68,324.68
11,2015-12-31,8.6046,59.9661,60.8904,70.0488,78.1184,90.2255,86.501,95.155,80.1345,126.786,83.9101,71.0233,55.4188,57.6569,116.8009,92.4317,135.0002,58.503,69.0904,49.1918,78.2468,66.9392,82.0008,82.1643,85.5158,71.7009,84.3917,59.0314,94.5955,78.6822,324.66,321.73,321.73,321.73
12,2016-01-01,8.5797,60.1301,60.7788,70.2583,78.2389,90.2261,86.6854,95.1852,80.1323,126.3957,83.9084,70.932,55.4575,57.6541,116.8021,92.9514,135.7917,58.5046,69.0081,48.9346,77.8584,68.7318,81.8435,82.1931,84.7457,72.1514,84.7799,59.0367,98.357,79.1516,321.52,315.14,315.14,315.14
13,2016-01-04,8.352,60.1512,63.6345,72.3735,82.469,92.5621,89.3182,97.934,80.14,125.9472,84.0821,73.6951,55.4829,57.627,116.8876,96.7442,142.6997,59.0408,71.5616,51.242,77.8691,73.4195,85.6388,82.7114,89.0388,75.3979,88.6778,59.0893,95.2184,74.6642,321.52,315.14,315.14,315.14
14,2016-01-05,7.8,59.9688,59.1432,70.3837,80.1855,91.2145,88.4515,96.7764,79.8901,125.982,85.4534,71.6993,55.9764,57.0194,116.8876,95.374,141.9675,59.3529,69.7367,49.7476,77.8663,72.1181,86.7271,82.6979,88.2725,75.3312,88.5647,64.5979,97.5274,76.1606,315.14,316.19,316.19,316.19
15,2016-01-06,8.3578,59.5894,58.1842,70.6424,81.8044,93.2,89.5683,98.3705,79.8546,125.7622,84.0852,72.0577,55.6913,57.8379,116.871,97.8527,145.336,59.4141,70.3053,50.5838,77.8198,72.1136,88.8287,87.1905,89.6717,76.4604,90.0955,59.0333,97.8571,79.3457,316.17,311.28,311.28,311.28
16,2016-01-07,8.0849,59.4067,59.1138,71.8334,83.9582,94.971,91.1589,100.124,79.8563,126.9066,85.0792,76.5107,51.3047,57.9781,116.8703,100.0707,149.8576,60.9002,70.7318,51.8318,78.1622,72.2078,90.8916,82.717,93.0017,77.7398,92.0153,59.05,98.8463,76.3371,311.27,302.5,302.5,302.5
17,2016-01-08,8.4721,60.9639,58.9982,68.1008,82.2992,93.6784,89.5665,99.0083,79.7529,127.5511,85.3874,75.9281,53.5986,58.9637,116.868,98.8106,147.8388,59.8878,67.8711,50.1208,78.1579,72.7159,89.5615,82.7133,89.8037,76.4389,90.1538,59.0526,99.176,79.3841,302.54,297.76,297.76,297.76
18,2016-01-11,8.1485,62.3842,61.4944,65.5739,83.9942,93.1398,88.6987,98.9256,79.8882,127.4114,89.6374,77.3674,54.1504,58.2141,116.868,99.7027,148.8512,60.5356,65.7591,49.948,78.2039,72.883,91.1003,82.7225,94.6457,78.7582,93.8033,64.6644,99.5124,78.3627,297.79,298.82,298.82,298.82
19,2016-01-12,8.0915,63.5105,60.9411,64.8148,82.9624,93.4842,88.4507,98.6777,79.8462,128.0211,90.4878,77.8651,54.4707,58.9315,116.8682,101.3212,148.1916,61.4425,65.516,50.3523,78.148,72.9369,90.8066,82.706,94.4938,77.5415,93.4934,59.0482,99.5056,77.5202,298.86,300.48,300.48,300.48
20,2016-01-13,8.1231,63.3884,61.4357,65.5834,82.63,93.1276,88.2028,98.9256,80.0957,128.2824,90.8753,79.2372,52.9896,57.9452,116.8688,100.2974,145.9877,62.5911,65.4334,49.9526,76.8985,72.9492,91.657,82.705,94.7992,78.227,94.2146,64.3471,99.5056,78.4593,300.5,292.66,292.66,292.66
21,2016-01-14,8.2876,63.3906,64.8337,71.2296,85.4464,98.0888,92.5505,104.0893,80.1017,128.3773,95.5248,84.2175,52.1045,57.1064,116.8696,104.9538,152.1793,64.2179,71.8267,53.3497,76.5919,73.6563,95.1648,82.7046,99.0263,80.2511,98.2652,64.3521,99.5056,81.1373,292.66,295.63,295.63,295.63
22,2016-01-15,8.2035,63.8214,69.4505,75.1947,88.757,102.0924,96.5244,107.9304,80.1313,126.4391,97.0201,89.4173,53.5047,58.1158,116.8072,110.9645,159.987,66.3266,77.8175,56.987,76.0775,74.717,98.5145,82.7011,103.1232,84.8533,102.2214,72.3369,99.6292,81.8822,295.42,288.68,288.68,288.68
23,2016-01-18,8.2919,64.0531,71.7571,77.7545,89.583,105.8255,97.8145,111.8269,80.1337,133.0499,100.0032,91.3991,57.8238,58.8936,116.8906,116.5252,162.7045,67.4018,79.7391,59.117,75.9123,76.1598,100.6713,82.7137,103.4607,84.808,102.9163,72.1815,103.7887,82.5468,288.73,288.58,288.58,288.58
24,2016-01-19,8.2726,64.524,72.38,77.3709,89.8694,105.5973,96.8537,111.407,80.0959,135.0935,101.3789,91.9331,59.5992,61.5275,116.8705,125.0861,161.1452,66.9042,78.3708,59.0899,77.0506,77.0852,100.7771,82.7079,102.5431,83.9434,102.7208,72.7958,104.8878,81.2983,288.73,288.58,288.58,288.58
25,2016-01-20,8.5688,64.765,80.1455,80.8212,89.3969,113.7091,101.9854,122.6609,80.1309,137.1144,103.9748,98.0158,60.7299,60.6002,116.8046,135.1205,166.6115,68.9868,84.0151,65.0359,77.4824,76.6869,104.4517,82.8719,107.5989,87.4314,106.6132,72.7583,109.5136,83.7829,288.56,282.51,282.51,282.51
26,2016-01-21,8.4417,64.8891,77.478,78.3616,91.8893,113.389,98.6759,127.7479,80.0996,141.1506,104.7528,96.3601,61.6177,60.9633,116.871,120.3852,161.542,70.6324,80.7587,60.958,77.6069,77.767,104.8773,82.8918,104.9279,87.1028,105.0486,66.5713,111.4746,84.3622,282.49,281.67,281.67,281.67
27,2016-01-22,8.9239,66.2763,73.0501,72.6117,91.0312,105.1029,94.2855,121.5766,80.1422,147.5704,104.0141,91.6837,64.1097,60.8798,116.8044,112.5848,153.4383,70.8451,75.4354,57.0126,80.1689,77.5624,102.6912,83.2557,101.8134,82.6607,101.8751,66.5214,109.9396,81.136,281.71,287.17,287.17,287.17
28,2016-01-25,8.919,67.0673,75.7947,74.4964,89.8354,108.2176,95.8608,127.8451,80.1287,146.6218,103.0622,94.6647,61.0439,60.7529,116.8865,117.0276,155.8728,70.2108,78.4793,57.8905,81.9679,77.0521,102.1498,85.0507,102.4365,83.458,102.3343,66.5622,107.7278,85.0094,287.16,280.6,280.6,280.6
29,2016-01-26,9.0428,65.7034,75.3633,77.4262,90.2179,110.2017,96.3997,136.1621,82.3667,150.3846,104.0659,95.6326,60.3567,60.8142,116.7993,119.4062,156.2512,70.6478,80.415,56.731,80.3495,82.2656,104.1651,86.1049,103.9025,82.9927,104.1553,67.21,109.2084,81.5193,280.61,285.59,285.59,285.59
30,2016-01-27,9.0799,65.9745,76.3594,78.9138,89.3916,110.2488,95.903,136.6932,82.6157,150.736,105.6364,95.533,60.3025,59.6803,116.7993,114.2197,151.8471,71.6781,81.5671,56.8968,79.9534,83.1962,104.8607,86.1588,103.8146,83.2733,104.0982,67.2146,109.3235,81.2516,285.56,284.47,284.47,284.47
31,2016-01-28,9.1578,66.1081,78.5614,79.8541,89.5379,110.5392,95.4455,132.3318,82.61,152.8595,105.9036,97.2707,60.5457,59.8811,116.798,116.8319,150.1278,72.4903,82.3983,57.5595,79.3199,84.7956,102.9907,86.9853,102.0994,82.2213,102.2779,72.1577,107.967,83.2934,284.43,284.69,284.69,284.69
32,2016-01-29,9.1757,66.1783,80.2562,81.8889,90.2502,114.514,94.7037,140.518,82.5834,152.6568,108.8118,97.7666,61.898,61.0547,116.8691,119.8017,150.4153,76.9175,83.8896,56.2345,80.3404,87.2339,101.0879,87.7196,99.3075,80.8455,99.7031,72.1692,111.5225,82.3667,284.69,292.9,292.9,292.9
33,2016-02-01,9.0188,65.9796,85.6004,86.2757,91.1456,120.319,98.3452,147.174,82.6241,155.5666,109.3387,100.4962,60.2892,59.8488,116.8901,128.3853,155.0482,75.7163,89.9187,60.5525,79.4996,86.3824,101.8105,88.2114,100.7944,81.4068,100.7458,72.2551,111.5227,83.3723,292.82,291.21,291.21,291.21
34,2016-02-02,9.5147,66.6533,90.7642,90.5751,95.2071,125.381,103.4753,156.5798,82.6131,151.6951,114.6043,105.9543,62.3393,59.481,116.8006,133.1565,160.607,80.0037,94.3826,62.9607,80.4512,86.8573,103.5427,88.292,102.2611,82.7772,102.6515,72.1321,115.8022,80.5326,291.15,283.62,283.62,283.62
35,2016-02-03,9.7549,67.9075,100.9926,97.9179,98.5128,134.1855,102.8967,167.3103,83.112,154.7659,119.5343,115.6253,63.815,57.0234,116.8006,141.3342,166.576,86.3355,101.7342,66.5689,82.8363,89.1977,105.9581,88.337,105.1751,84.4714,105.8386,72.2085,118.0944,84.0582,283.39,283.47,283.47,283.47
36,2016-02-04,9.9886,72.0142,107.5706,102.231,101.1161,139.2948,115.1867,179.2174,83.113,155.7567,121.4819,121.5755,69.563,59.2533,116.794,145.6075,170.8368,85.49,103.8417,70.809,84.879,91.0457,109.7709,88.3585,108.1314,86.7765,108.2494,72.173,118.0947,82.5888,283.44,286.06,286.06,286.06
37,2016-02-05,10.4245,72.9078,120.2061,104.8219,106.6087,145.7159,128.0308,185.7047,83.1092,157.586,127.7889,126.4189,71.1793,57.4211,116.796,148.7486,172.0724,87.0643,107.7283,76.0282,84.3071,94.5433,119.11,88.368,118.4127,91.1305,118.2774,73.1542,119.737,83.9127,285.99,282.15,282.15,282.15
38,2016-02-08,11.6515,72.9855,152.53,121.6367,107.4667,164.7187,145.8784,222.0278,83.145,159.7411,136.1976,147.3803,74.4288,62.006,119.281,169.0738,188.7806,91.3065,122.5402,91.7189,87.8609,104.239,136.0034,88.3867,135.8606,104.3152,135.6041,70.28,128.5774,85.4903,282.13,274.7,274.7,274.7
39,2016-02-09,14.6797,71.5647,153.3546,128.2602,113.9729,170.5947,155.3585,247.948,80.1193,162.6019,133.9407,153.5533,81.736,64.0074,119.2868,180.1953,193.0133,96.9587,127.8555,91.4505,89.6829,121.0882,141.0122,88.3724,142.0849,107.3094,142.3255,87.2964,143.6977,118.7067,274.68,274.25,274.25,274.25
40,2016-02-10,14.5404,74.9769,140.4836,118.4494,108.6005,160.751,152.6711,236.0744,80.1171,165.554,143.5428,138.1178,87.5033,64.1229,119.2465,171.204,182.7644,101.1661,121.5595,86.7641,90.1168,125.4438,136.3986,88.3729,138.4243,101.3457,138.3468,87.2637,152.0945,106.15,274.18,272.97,272.97,272.97
