DBR,AMROBK,BACR-Bank,BNP,BYLAN,CMZB,CSGAG,DB,DZBK,ERGBA,HSBC,HSBC-HSBCBank,INTNED,LBW,NDB,SANPAO,SANTNDR,SEB,SOCGEN,UBS,UCBAG,BACF-BankNA,C,CRDSUI-USAInc,GS,JPM,MWD,RY,MIZUHBA,NOMURA
-0.003415332,-0.007266369,0.033837796,0.025928912,-0.005609066,0.060901653,0.033125611,0.027555918,-0.00041163,0.017243921,0.051520777,0.042450402,0.030281935,0.016558537,0.000285231,0.047192069,0.030467125,0.00579359,0.051487469,0.031709289,0.00638156,0.00881551,0.046885186,0.014837644,0.041595772,0.061824582,0.04048893,0.003015841,0.033990936,-0.021892172
0.009791268,0.004785035,-0.026396624,-0.002683877,0.007501015,-0.028342876,0.002175308,0.002293924,-0.000399044,0.003916255,0.042590423,-0.036557086,0.042440156,0.016648795,0.000366031,-0.004397053,-0.008539598,0.006586821,-0.016167578,-0.039093652,7.87E-06,0.000228293,0.002155373,-0.000650682,0.005701174,0.01256379,0.001699387,0.023771197,0.000681177,-0.012216726
-0.003306803,0.000967339,-0.015640147,-0.018393711,-0.003283417,-0.010804409,-0.025076742,-0.025142363,-0.000716536,-0.009143614,-0.029396648,-0.013909134,0.004963202,-0.033200956,0.00036887,-0.030888419,-0.062808428,-0.0063389,-0.026220043,-0.00995564,-0.019068951,0.003443758,-0.016431145,-0.013552867,-0.012815031,-0.01579756,-0.010225805,-0.004480194,-0.003862147,-0.001370455
-0.005180835,-0.010026718,0.004014467,-0.010929224,-0.005596733,-0.008198639,-0.01297595,-0.011433578,0.001079958,-0.00471508,-0.000429065,0.01204357,-0.028233054,0.004048328,0.020274301,0.005696307,-0.002745355,0.005997753,-0.00713831,-0.012172487,-0.003248021,0.004690728,-0.006254935,-0.000816576,-0.0073461,-0.002783013,-0.001525056,0.008164597,-0.000331368,-0.041074222
0.004971732,-0.009428383,0.002703331,-0.008629394,-0.004648471,-0.001491017,0.003460633,0.007005155,0.003471171,-0.001260368,-0.015202873,-0.003599973,-0.045645813,-0.042783163,-0.000236486,-0.01425838,-0.021434561,-0.014637356,-0.010896144,0.012403885,0.003249036,0.000575013,-0.003301066,0.000364572,-0.001216856,0.00521552,0.000118828,0.001076052,-0.045407136,-0.011983369
-0.028202521,0.000829417,-0.009272244,0.011823132,0.007987645,-0.003001964,0.002010977,-5.73E-05,-0.000515023,-0.006702427,-0.026299088,-0.00961106,-0.018068663,0.007163764,0.000581858,0.000332661,0.008574662,-0.004889581,0.012972375,-0.016937273,0.002658621,0.009390162,0.001109009,-7.92E-05,0.003886086,0.005419678,0.003318226,-0.015281771,0.02514782,0.002720304
0.005318057,0.017506163,0.004456341,0.00239126,0.004429628,0.003748428,0.002556243,0.002011678,-0.003213715,0.000114236,0.002856817,0.003095429,-0.003928068,-0.000295166,3.07E-05,0.002503724,-0.001216498,0.006938263,0.002566581,0.008439116,0.005461523,-0.038071767,0.000170138,0.006414329,-0.009135976,-0.003724786,-0.004572804,-0.000249938,-4.02E-05,0.010453129
-0.053146421,-0.000354357,0.003353546,0.001236756,-0.004785662,0.003512299,0.003219476,0.001742868,-0.000519371,-0.000370102,3.62E-06,0.000575178,-0.000883607,-0.000707428,-0.00016608,0.012630701,0.002245189,-0.000481761,0.000821744,-0.000884786,-0.000721839,0.005549468,0.014625438,-0.00667439,0.010311866,0.001954901,0.010565516,-0.000932991,0.019981812,-0.003633467
0.027857746,-0.052340036,0.000973431,0.018538591,-0.000233088,-0.002937991,-0.014623438,-0.003156448,0.00667332,0.014354196,0.001196556,-0.007483484,-0.015356192,0.028689776,-0.000219471,-0.016112667,-0.021522546,-0.001678223,0.006683753,-0.005473593,0.001335189,0.04212536,-0.01672671,0.000363347,-0.011667436,-0.016305737,-0.012209219,-0.088273846,-0.025209263,-0.019084197
0.051937857,0.057787867,-0.011283556,-0.023602339,0.007646531,-0.012792707,0.011265329,-0.007586031,-0.006058495,-0.012802602,-0.016747353,0.003890805,0.004361462,0.003572437,0.000150347,-0.010522066,-0.003473072,0.001603858,4.45E-05,-0.006569598,-0.000750354,0.000129718,0.000414736,0.006315492,0.011917508,0.013425918,0.005770524,-0.000208099,0.000440822,0.096561919
-0.060977386,0.005171858,0.002393221,0.025528762,0.000611551,0.010934918,0.003413356,0.010061002,-0.003351677,0.000984105,0.010263343,-0.002136985,0.008123134,-0.032076027,0.000370066,0.003870856,0.015888552,0.002786307,0.010372913,0.001633198,0.000138237,0.052194354,0.011759561,-0.000169371,-0.002823583,0.011277808,0.012832847,0.088923703,0.003451802,-0.080554357
0.009699174,0.005782311,0.013380658,0.016412072,0.002211989,0.020292228,0.017367183,0.016037646,-0.000275455,0.004915795,0.018105812,0.009313722,0.015159036,-0.001106425,0.000309834,0.014505384,0.015091818,0.004803887,0.022088582,0.020161983,0.005066117,-0.026992865,0.021090379,-0.000624691,0.028229395,0.014972526,0.013948497,-0.001258179,-0.03840974,-0.0033473
