,DBR,AMROBK,BACR-Bank,BNP,BYLAN,CMZB,CSGAG,DB,DZBK,ERGBA,HSBC,HSBC-HSBCBank,INTNED,LBW,NDB,SANPAO,SANTNDR,SEB,SOCGEN,UBS,UCBAG,BACF-BankNA,C,CRDSUI-USAInc,GS,JPM,MWD,RY,MIZUHBA,NOMURA
2015-12-16,8.098700000000001,59.9553,59.5979,70.288,78.1634,89.5873,85.6969,94.047,79.8399,126.778,84.2263,69.7139,53.4327,55.879,119.3407,90.3836,124.1511,58.3422,69.4612,46.765,77.88459999999999,73.2131,83.3913,82.7087,86.4448,75.6478,86.89670000000001,60.0193,95.3847,72.30959999999999
2015-12-17,8.180900000000001,60.8999,58.2724,69.807,78.89349999999999,85.99239999999999,84.50829999999999,92.9731,79.84899999999999,124.8352,81.4312,67.34559999999999,52.65299999999999,54.899,119.3442,87.93820000000001,122.929,58.2812,67.3441,45.9745,77.396,72.5302,81.08489999999999,81.46860000000001,84.50080000000001,72.6121,84.9827,59.7699,92.24990000000001,74.09920000000001
2015-12-18,8.165600000000001,61.21299999999999,60.64089999999999,71.5936,78.6469,90.5804,86.26089999999999,94.54350000000001,79.85269999999998,124.6129,79.69659999999999,70.50909999999999,51.40559999999999,53.92,119.345,90.4186,127.0431,58.2252,70.1275,48.6452,77.40350000000001,72.46589999999999,82.73670000000001,81.4956,85.9183,73.5007,86.6896,58.28650000000001,92.24980000000001,75.2375
2015-12-21,8.1647,60.8928,61.2405,72.2154,78.7569,90.6353,87.5892,96.15729999999999,79.9221,125.6418,81.3318,71.20890000000001,50.7452,55.7726,119.2818,92.31750000000001,133.8628,58.4534,71.2387,48.765,78.89009999999999,72.2373,83.3012,82.61900000000001,86.1917,73.8786,86.7687,58.5826,92.5796,75.2423
2015-12-22,8.1754,61.20910000000001,60.5956,72.2073,79.02990000000001,90.3317,87.7539,96.3618,79.84959999999998,126.104,80.53340000000001,70.0357,51.7293,55.5838,116.8665,90.7483,132.6406,57.94429999999999,70.9007,48.9448,79.14269999999999,71.9224,82.91420000000001,82.6994,85.8843,73.1944,85.98899999999999,58.1449,92.5795,78.2812
2015-12-23,8.0907,61.3694,59.8762,71.71119999999999,79.16,89.0088,86.0969,94.4449,79.59219999999999,126.078,80.5922,69.8382,53.4625,58.0671,116.8642,90.58180000000002,133.2627,58.5718,70.48880000000001,47.7677,78.8803,71.9136,81.92190000000001,82.6874,84.6789,71.58670000000001,84.7127,58.1367,96.83489999999999,79.06020000000001
2015-12-24,8.328,61.3727,60.50640000000001,71.0111,78.5608,89.46459999999999,86.09790000000001,94.61070000000001,79.63069999999999,126.95,82.8952,70.5714,54.5269,57.6457,116.8001,90.7408,132.4122,58.8884,69.73129999999999,48.6589,78.6716,71.2373,81.99400000000001,82.6916,84.5185,71.35679999999999,84.5946,59.0248,94.4358,78.8667
2015-12-25,8.2918,60.3803,60.33580000000001,71.0361,78.25510000000001,89.3861,86.11519999999999,94.63920000000002,79.8836,126.9684,82.87040000000002,70.4332,54.8644,57.65329999999999,116.8018,90.77170000000001,132.9665,58.52119999999999,69.7584,48.3519,78.2441,73.9958,82.2026,82.15969999999999,85.52590000000001,71.83850000000001,85.2054,59.0298,94.4474,78.0753
2015-12-28,8.744399999999999,60.40170000000001,60.13379999999999,70.9483,78.6305,89.0727,85.83840000000001,94.47439999999999,79.92509999999999,127.0154,82.8701,70.39269999999999,54.9129,57.69410000000001,116.8212,89.63240000000002,132.6683,58.54940000000001,69.7011,48.3947,78.3006,73.5863,81.00909999999999,82.7099,84.6485,71.6982,84.3099,59.0849,92.5789,78.3595
2015-12-29,8.4646,63.2769,59.6016,68.72500000000001,78.4467,88.1001,85.94630000000001,93.7163,79.41,125.048,81.75099999999999,70.5322,55.1597,56.1068,116.8212,89.8409,133.6226,58.4538,68.25189999999999,48.1651,78.19130000000001,70.5782,81.29990000000001,82.6954,84.52289999999999,71.8235,84.2677,64.5894,94.9044,79.72699999999999
2015-12-30,8.0619,59.96320000000001,60.60570000000001,71.0104,77.9865,90.0892,85.76530000000001,95.1581,79.88119999999999,126.7683,83.8408,70.5237,55.3302,55.87639999999999,116.8212,91.65289999999999,135.4126,58.4927,68.92200000000001,48.8235,78.25330000000001,70.5503,82.0012,82.1642,84.27749999999999,71.576,84.5155,64.56739999999999,94.8886,72.4769
2015-12-31,8.6046,59.9661,60.8904,70.0488,78.1184,90.2255,86.501,95.155,80.1345,126.786,83.91010000000001,71.0233,55.4188,57.6569,116.8009,92.4317,135.0002,58.50300000000001,69.0904,49.1918,78.24680000000001,66.9392,82.00080000000001,82.1643,85.5158,71.7009,84.39169999999999,59.0314,94.59550000000002,78.68220000000001
2016-01-01,8.579699999999999,60.1301,60.7788,70.2583,78.2389,90.2261,86.6854,95.18520000000001,80.1323,126.3957,83.9084,70.93199999999999,55.4575,57.65410000000001,116.8021,92.9514,135.7917,58.5046,69.0081,48.9346,77.85839999999999,68.73179999999999,81.8435,82.1931,84.74570000000001,72.1514,84.7799,59.0367,98.357,79.15159999999999
2016-01-04,8.352,60.1512,63.6345,72.3735,82.469,92.5621,89.3182,97.93400000000001,80.14,125.9472,84.0821,73.6951,55.4829,57.627,116.8876,96.74419999999999,142.6997,59.0408,71.5616,51.242,77.8691,73.4195,85.63879999999999,82.7114,89.0388,75.3979,88.6778,59.0893,95.2184,74.6642
2016-01-05,7.8,59.9688,59.14319999999999,70.3837,80.1855,91.2145,88.4515,96.7764,79.8901,125.982,85.4534,71.6993,55.97640000000001,57.0194,116.8876,95.374,141.9675,59.3529,69.73670000000001,49.7476,77.8663,72.1181,86.72710000000001,82.69790000000002,88.2725,75.3312,88.5647,64.5979,97.5274,76.1606
2016-01-06,8.3578,59.5894,58.18420000000001,70.64240000000001,81.80440000000002,93.2,89.56830000000001,98.3705,79.8546,125.7622,84.08519999999999,72.0577,55.6913,57.8379,116.871,97.8527,145.336,59.4141,70.3053,50.5838,77.8198,72.1136,88.8287,87.1905,89.6717,76.46039999999999,90.0955,59.0333,97.8571,79.3457
2016-01-07,8.084900000000001,59.4067,59.1138,71.8334,83.9582,94.97099999999999,91.1589,100.124,79.8563,126.9066,85.0792,76.5107,51.3047,57.9781,116.8703,100.0707,149.8576,60.90019999999999,70.7318,51.83179999999999,78.1622,72.2078,90.89160000000001,82.717,93.0017,77.7398,92.0153,59.04999999999999,98.8463,76.3371
2016-01-08,8.472100000000001,60.9639,58.9982,68.10079999999999,82.2992,93.67840000000001,89.5665,99.00829999999999,79.7529,127.5511,85.38739999999999,75.9281,53.5986,58.9637,116.868,98.81060000000001,147.8388,59.8878,67.8711,50.1208,78.1579,72.7159,89.5615,82.7133,89.80369999999999,76.4389,90.15379999999999,59.0526,99.176,79.3841
2016-01-11,8.1485,62.3842,61.49440000000001,65.5739,83.99419999999999,93.1398,88.6987,98.9256,79.88820000000001,127.4114,89.6374,77.3674,54.1504,58.2141,116.868,99.7027,148.8512,60.5356,65.7591,49.948,78.2039,72.883,91.1003,82.7225,94.6457,78.7582,93.8033,64.6644,99.5124,78.36269999999999
2016-01-12,8.0915,63.51049999999999,60.94109999999999,64.8148,82.9624,93.4842,88.4507,98.6777,79.8462,128.0211,90.4878,77.8651,54.47070000000001,58.9315,116.8682,101.3212,148.1916,61.4425,65.516,50.35229999999999,78.14800000000001,72.93690000000001,90.8066,82.70599999999999,94.49380000000001,77.5415,93.4934,59.04819999999999,99.5056,77.5202
2016-01-13,8.123099999999999,63.3884,61.4357,65.5834,82.63,93.1276,88.2028,98.9256,80.09570000000001,128.2824,90.87530000000001,79.2372,52.9896,57.9452,116.8688,100.2974,145.9877,62.5911,65.43339999999999,49.9526,76.8985,72.9492,91.65700000000001,82.70500000000001,94.7992,78.227,94.21459999999999,64.3471,99.5056,78.45929999999998
2016-01-14,8.287600000000001,63.3906,64.8337,71.2296,85.44639999999998,98.0888,92.5505,104.0893,80.10170000000001,128.3773,95.5248,84.2175,52.1045,57.1064,116.8696,104.9538,152.1793,64.2179,71.8267,53.3497,76.5919,73.6563,95.1648,82.7046,99.0263,80.2511,98.2652,64.35210000000001,99.5056,81.1373
2016-01-15,8.2035,63.8214,69.4505,75.1947,88.75699999999999,102.0924,96.5244,107.9304,80.13130000000001,126.4391,97.02010000000001,89.4173,53.50470000000001,58.11580000000001,116.8072,110.9645,159.987,66.3266,77.8175,56.987,76.0775,74.717,98.5145,82.70110000000001,103.1232,84.8533,102.2214,72.3369,99.6292,81.8822
2016-01-18,8.2919,64.0531,71.7571,77.7545,89.583,105.8255,97.81450000000001,111.8269,80.1337,133.0499,100.0032,91.39909999999999,57.82380000000001,58.8936,116.8906,116.5252,162.7045,67.4018,79.73910000000001,59.117,75.9123,76.1598,100.6713,82.7137,103.4607,84.808,102.9163,72.1815,103.7887,82.5468
2016-01-19,8.2726,64.52399999999999,72.38,77.37089999999999,89.86940000000001,105.5973,96.8537,111.407,80.09590000000001,135.0935,101.3789,91.9331,59.5992,61.5275,116.8705,125.0861,161.1452,66.9042,78.3708,59.08990000000001,77.05059999999999,77.0852,100.7771,82.7079,102.5431,83.9434,102.7208,72.7958,104.8878,81.29829999999998
2016-01-20,8.5688,64.765,80.1455,80.8212,89.3969,113.7091,101.9854,122.6609,80.13090000000001,137.1144,103.9748,98.01580000000001,60.7299,60.6002,116.8046,135.1205,166.6115,68.9868,84.01509999999999,65.0359,77.4824,76.68690000000001,104.4517,82.8719,107.5989,87.4314,106.6132,72.75829999999999,109.5136,83.7829
